,eventTimeStart,eventTimeEnd,latStart,lonStart,latEnd,lonEnd
964,2017-05-24 13:25:21,2017-05-24 13:25:24,47.409291,8.546942,47.423743,8.555213
1431,2017-05-24 13:25:37,2017-05-24 13:25:37,47.409291,8.546942,47.423743,8.555213
1008,2017-05-24 13:25:46,2017-05-24 13:25:48,47.409291,8.546942,47.423743,8.555213
474,2017-05-24 13:25:56,2017-05-24 13:25:57,47.409291,8.546942,47.423743,8.555213
856,2017-05-24 13:26:12,2017-05-24 13:26:12,47.409291,8.546942,47.423743,8.555213
493,2017-05-24 13:26:20,2017-05-24 13:26:22,47.409291,8.546942,47.423743,8.555213
602,2017-05-24 13:26:31,2017-05-24 13:26:35,47.409291,8.546942,47.423743,8.555213
430,2017-05-24 13:26:40,2017-05-24 13:26:41,47.409291,8.546942,47.423743,8.555213
1235,2017-05-24 13:26:43,2017-05-24 13:26:43,47.409291,8.546942,47.423743,8.555213
241,2017-05-24 13:26:45,2017-05-24 13:26:45,47.409291,8.546942,47.423743,8.555213
1261,2017-05-24 13:26:46,2017-05-24 13:26:48,47.409291,8.546942,47.423743,8.555213
274,2017-05-24 13:27:05,2017-05-24 13:27:06,47.409291,8.546942,47.423743,8.555213
935,2017-05-24 13:27:07,2017-05-24 13:27:08,47.409291,8.546942,47.423743,8.555213
1050,2017-05-24 13:27:19,2017-05-24 13:27:19,47.409291,8.546942,47.423743,8.555213
1188,2017-05-24 13:27:33,2017-05-24 13:27:34,47.409291,8.546942,47.423743,8.555213
720,2017-05-24 13:27:37,2017-05-24 13:27:39,47.409291,8.546942,47.423743,8.555213
49,2017-05-24 13:27:44,2017-05-24 13:27:50,47.409291,8.546942,47.423743,8.555213
926,2017-05-24 13:27:54,2017-05-24 13:27:56,47.409291,8.546942,47.423743,8.555213
1432,2017-05-24 13:27:58,2017-05-24 13:28:00,47.409291,8.546942,47.423743,8.555213
1350,2017-05-24 13:28:10,2017-05-24 13:28:11,47.409291,8.546942,47.423743,8.555213
1159,2017-05-24 13:28:21,2017-05-24 13:28:23,47.409291,8.546942,47.423743,8.555213
873,2017-05-24 13:28:23,2017-05-24 13:28:23,47.409291,8.546942,47.423743,8.555213
139,2017-05-24 13:28:30,2017-05-24 13:28:30,47.409291,8.546942,47.423743,8.555213
1038,2017-05-24 13:28:34,2017-05-24 13:28:41,47.409291,8.546942,47.423743,8.555213
1383,2017-05-24 13:28:46,2017-05-24 13:28:46,47.409291,8.546942,47.423743,8.555213
896,2017-05-24 13:28:48,2017-05-24 13:28:50,47.409291,8.546942,47.423743,8.555213
275,2017-05-24 13:28:52,2017-05-24 13:28:53,47.409291,8.546942,47.423743,8.555213
597,2017-05-24 13:28:55,2017-05-24 13:28:56,47.409291,8.546942,47.423743,8.555213
971,2017-05-24 13:28:57,2017-05-24 13:29:03,47.409291,8.546942,47.423743,8.555213
1506,2017-05-24 13:29:07,2017-05-24 13:29:11,47.409291,8.546942,47.423743,8.555213
13,2017-05-24 13:29:29,2017-05-24 13:29:31,47.409291,8.546942,47.423743,8.555213
152,2017-05-24 13:29:38,2017-05-24 13:29:42,47.409291,8.546942,47.423743,8.555213
103,2017-05-24 13:29:51,2017-05-24 13:29:53,47.409291,8.546942,47.423743,8.555213
314,2017-05-24 13:29:57,2017-05-24 13:30:00,47.409291,8.546942,47.423743,8.555213
483,2017-05-24 13:30:00,2017-05-24 13:30:03,47.409291,8.546942,47.423743,8.555213
713,2017-05-24 13:30:14,2017-05-24 13:30:15,47.409291,8.546942,47.423743,8.555213
679,2017-05-24 13:30:19,2017-05-24 13:30:20,47.409291,8.546942,47.423743,8.555213
146,2017-05-24 13:30:22,2017-05-24 13:30:25,47.409291,8.546942,47.423743,8.555213
837,2017-05-24 13:30:45,2017-05-24 13:30:47,47.409291,8.546942,47.423743,8.555213
195,2017-05-24 13:30:54,2017-05-24 13:30:56,47.409291,8.546942,47.423743,8.555213
339,2017-05-24 13:31:21,2017-05-24 13:31:22,47.409291,8.546942,47.423743,8.555213
283,2017-05-24 13:31:25,2017-05-24 13:31:26,47.409291,8.546942,47.423743,8.555213
1318,2017-05-24 13:31:36,2017-05-24 13:31:37,47.409291,8.546942,47.423743,8.555213
258,2017-05-24 13:31:40,2017-05-24 13:31:42,47.409291,8.546942,47.423743,8.555213
658,2017-05-24 13:31:45,2017-05-24 13:31:46,47.409291,8.546942,47.423743,8.555213
1362,2017-05-24 13:31:50,2017-05-24 13:31:53,47.409291,8.546942,47.423743,8.555213
1201,2017-05-24 13:32:10,2017-05-24 13:32:13,47.409291,8.546942,47.423743,8.555213
1311,2017-05-24 13:32:17,2017-05-24 13:32:18,47.409291,8.546942,47.423743,8.555213
1390,2017-05-24 13:32:22,2017-05-24 13:32:26,47.409291,8.546942,47.423743,8.555213
467,2017-05-24 13:32:27,2017-05-24 13:32:32,47.409291,8.546942,47.423743,8.555213
1351,2017-05-24 13:32:50,2017-05-24 13:32:56,47.409291,8.546942,47.423743,8.555213
431,2017-05-24 13:33:00,2017-05-24 13:33:00,47.409291,8.546942,47.423743,8.555213
1095,2017-05-24 13:33:05,2017-05-24 13:33:05,47.409291,8.546942,47.423743,8.555213
552,2017-05-24 13:33:08,2017-05-24 13:33:08,47.409291,8.546942,47.423743,8.555213
449,2017-05-24 13:33:13,2017-05-24 13:33:16,47.409291,8.546942,47.423743,8.555213
553,2017-05-24 13:33:17,2017-05-24 13:33:18,47.409291,8.546942,47.423743,8.555213
187,2017-05-24 13:33:31,2017-05-24 13:33:32,47.409291,8.546942,47.423743,8.555213
965,2017-05-24 13:33:41,2017-05-24 13:33:43,47.409291,8.546942,47.423743,8.555213
1141,2017-05-24 13:33:53,2017-05-24 13:33:54,47.409291,8.546942,47.423743,8.555213
14,2017-05-24 13:34:04,2017-05-24 13:34:06,47.409291,8.546942,47.423743,8.555213
37,2017-05-24 13:34:17,2017-05-24 13:34:17,47.409291,8.546942,47.423743,8.555213
1298,2017-05-24 13:34:27,2017-05-24 13:34:27,47.409291,8.546942,47.423743,8.555213
309,2017-05-24 13:34:32,2017-05-24 13:34:32,47.409291,8.546942,47.423743,8.555213
623,2017-05-24 13:34:38,2017-05-24 13:34:40,47.409291,8.546942,47.423743,8.555213
89,2017-05-24 13:34:52,2017-05-24 13:34:54,47.409291,8.546942,47.423743,8.555213
985,2017-05-24 13:35:03,2017-05-24 13:35:03,47.409291,8.546942,47.423743,8.555213
603,2017-05-24 13:35:11,2017-05-24 13:35:12,47.409291,8.546942,47.423743,8.555213
